GAN,Dataset,Iter Routing,Leaky_Relu,Acc,Loss
0,2,1,1,0.9125,0.024982354
0,2,2,0,0.920833333,0.020901669
0,2,2,1,0.916666667,0.02509037
0,2,3,0,0.921875,0.017857878
0,2,3,1,0.891666667,0.02467708
0,3,1,0,0.920833333,0.03090114
0,3,1,1,0.933333333,0.034041066
0,3,2,0,0.920833333,0.028815713
0,3,2,1,0.920833333,0.030398495
0,3,3,0,0.925,0.031260423
0,3,3,1,0.916666667,0.031647697
1,2,1,0,0.971153846,0.01931239
1,2,1,1,0.96875,0.027766116
1,2,2,0,0.983974359,0.023453668
1,2,2,1,0.97265625,0.02403867
1,2,3,0,0.983974359,0.019941883
1,2,3,1,0.96484375,0.02438317
1,3,1,0,0.9625,0.031865012
1,3,1,1,0.970833333,0.031831108
1,3,2,0,0.96875,0.026674606
1,3,2,1,0.954166667,0.031012524
1,3,3,0,0.9875,0.024220008
1,3,3,1,0.941666667,0.029027736
